V1	V(vd1)	I(D1)
-1.000000000000000e+01	-2.268741e+00	-7.731259e-03
-9.990000000000000e+00	-2.268698e+00	-7.721302e-03
-9.980000000000000e+00	-2.268656e+00	-7.711344e-03
-9.970000000000001e+00	-2.268613e+00	-7.701387e-03
-9.960000000000001e+00	-2.268571e+00	-7.691429e-03
-9.949999999999999e+00	-2.268528e+00	-7.681472e-03
-9.940000000000000e+00	-2.268485e+00	-7.671515e-03
-9.930000000000000e+00	-2.268442e+00	-7.661558e-03
-9.920000000000000e+00	-2.268399e+00	-7.651601e-03
-9.910000000000000e+00	-2.268357e+00	-7.641643e-03
-9.900000000000000e+00	-2.268314e+00	-7.631686e-03
-9.890000000000001e+00	-2.268271e+00	-7.621729e-03
-9.880000000000001e+00	-2.268228e+00	-7.611772e-03
-9.869999999999999e+00	-2.268185e+00	-7.601815e-03
-9.859999999999999e+00	-2.268142e+00	-7.591858e-03
-9.850000000000000e+00	-2.268099e+00	-7.581901e-03
-9.840000000000000e+00	-2.268056e+00	-7.571945e-03
-9.830000000000000e+00	-2.268012e+00	-7.561988e-03
-9.820000000000000e+00	-2.267969e+00	-7.552031e-03
-9.810000000000000e+00	-2.267926e+00	-7.542074e-03
-9.800000000000001e+00	-2.267883e+00	-7.532117e-03
-9.789999999999999e+00	-2.267839e+00	-7.522161e-03
-9.779999999999999e+00	-2.267796e+00	-7.512204e-03
-9.770000000000000e+00	-2.267752e+00	-7.502248e-03
-9.760000000000000e+00	-2.267709e+00	-7.492291e-03
-9.750000000000000e+00	-2.267665e+00	-7.482335e-03
-9.740000000000000e+00	-2.267622e+00	-7.472378e-03
-9.730000000000000e+00	-2.267578e+00	-7.462422e-03
-9.720000000000001e+00	-2.267534e+00	-7.452466e-03
-9.710000000000001e+00	-2.267491e+00	-7.442509e-03
-9.699999999999999e+00	-2.267447e+00	-7.432553e-03
-9.690000000000000e+00	-2.267403e+00	-7.422597e-03
-9.680000000000000e+00	-2.267359e+00	-7.412641e-03
-9.670000000000000e+00	-2.267315e+00	-7.402685e-03
-9.660000000000000e+00	-2.267271e+00	-7.392729e-03
-9.650000000000000e+00	-2.267227e+00	-7.382773e-03
-9.640000000000001e+00	-2.267183e+00	-7.372817e-03
-9.630000000000001e+00	-2.267139e+00	-7.362861e-03
-9.619999999999999e+00	-2.267095e+00	-7.352905e-03
-9.609999999999999e+00	-2.267051e+00	-7.342949e-03
-9.600000000000000e+00	-2.267007e+00	-7.332993e-03
-9.590000000000000e+00	-2.266962e+00	-7.323038e-03
-9.580000000000000e+00	-2.266918e+00	-7.313082e-03
-9.570000000000000e+00	-2.266874e+00	-7.303127e-03
-9.560000000000000e+00	-2.266829e+00	-7.293171e-03
-9.550000000000001e+00	-2.266785e+00	-7.283215e-03
-9.539999999999999e+00	-2.266740e+00	-7.273260e-03
